                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1361,                0.59449,                0.85947,                0.93622,                0.73418,                0.78725,                0.58433,                 1.1078,                0.60991,                0.86959,               0.004786,               0.004786,               0.004786
                     81,                 1.0986,                0.57994,                0.85999,                0.93446,                0.74158,                0.79484,                0.58927,                 1.0985,                0.60473,                0.86796,                0.00472,                0.00472,                0.00472
                     82,                 1.1048,                0.58051,                0.85828,                0.92832,                0.74861,                0.78643,                0.58822,                 1.0891,                 0.6027,                 0.8679,               0.004654,               0.004654,               0.004654
                     83,                 1.1143,                 0.5866,                0.85739,                0.92557,                0.75278,                0.79226,                0.59656,                 1.1002,                0.60346,                0.86926,               0.004588,               0.004588,               0.004588
                     84,                 1.1191,                0.58567,                0.85792,                0.93734,                0.74676,                0.79603,                0.60147,                 1.1075,                0.61164,                0.86823,               0.004522,               0.004522,               0.004522
                     85,                 1.0909,                0.57951,                0.85901,                0.91763,                0.73288,                0.78671,                0.59334,                 1.0986,                0.60684,                0.86796,               0.004456,               0.004456,               0.004456
                     86,                 1.0879,                0.57456,                0.85733,                0.93972,                0.75239,                0.79645,                 0.5923,                 1.0904,                0.59935,                 0.8689,                0.00439,                0.00439,                0.00439
                     87,                 1.0894,                0.57302,                0.85532,                0.93303,                0.74491,                0.78632,                0.59582,                 1.0749,                0.60063,                0.86578,               0.004324,               0.004324,               0.004324
                     88,                 1.0902,                0.57384,                0.85772,                0.93275,                0.74161,                0.78471,                0.60128,                 1.0737,                0.59813,                0.86515,               0.004258,               0.004258,               0.004258
                     89,                 1.0773,                0.56687,                0.85471,                0.93965,                0.73713,                0.79321,                0.61297,                 1.0763,                0.59576,                0.86592,               0.004192,               0.004192,               0.004192
                     90,                 1.0897,                0.57285,                0.85569,                0.92325,                0.74203,                0.78873,                0.60103,                 1.0778,                0.59981,                0.86861,               0.004126,               0.004126,               0.004126
                     91,                 1.0615,                0.55947,                0.85426,                0.94047,                0.74279,                 0.7948,                 0.6029,                 1.0929,                0.60107,                0.86951,                0.00406,                0.00406,                0.00406
                     92,                  1.083,                0.56633,                0.85095,                  0.938,                0.73939,                0.79762,                0.58765,                 1.0859,                0.60147,                0.86775,               0.003994,               0.003994,               0.003994
                     93,                 1.0659,                0.55909,                0.85145,                0.92742,                0.74378,                 0.7886,                0.60399,                  1.078,                0.59486,                0.86723,               0.003928,               0.003928,               0.003928
                     94,                 1.0681,                0.56173,                 0.8529,                0.92904,                0.73657,                 0.7852,                0.60645,                 1.0849,                0.60042,                0.86648,               0.003862,               0.003862,               0.003862
                     95,                 1.0591,                0.55761,                0.85144,                0.92192,                0.74067,                0.78875,                0.59626,                 1.0765,                0.59345,                0.86646,               0.003796,               0.003796,               0.003796
                     96,                 1.0795,                0.56247,                0.85059,                0.93489,                0.74204,                0.79051,                0.60294,                 1.0805,                0.59292,                0.86588,                0.00373,                0.00373,                0.00373
                     97,                 1.0384,                0.54827,                 0.8511,                 0.9312,                0.75205,                0.78932,                0.60318,                 1.0824,                0.59126,                0.86509,               0.003664,               0.003664,               0.003664
                     98,                 1.0706,                0.55994,                0.85176,                0.93122,                0.73973,                 0.7918,                 0.5894,                 1.0796,                0.59072,                0.86644,               0.003598,               0.003598,               0.003598
                     99,                 1.0471,                0.54717,                 0.8499,                0.93938,                0.74071,                0.78792,                0.59279,                 1.0731,                0.59167,                0.86546,               0.003532,               0.003532,               0.003532
                    100,                 1.0593,                0.55489,                0.84932,                 0.9265,                0.74527,                0.78869,                0.60368,                 1.0688,                0.58908,                0.86385,               0.003466,               0.003466,               0.003466
                    101,                 1.0604,                 0.5513,                 0.8489,                0.94436,                0.74057,                0.79228,                0.60462,                 1.0696,                0.58577,                0.86429,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.0352,                 0.5474,                0.85024,                0.93856,                0.73862,                0.79045,                0.59411,                 1.0592,                0.58635,                0.86437,               0.003334,               0.003334,               0.003334
                    103,                 1.0577,                0.55195,                0.84882,                0.91827,                0.75519,                0.80642,                0.60437,                 1.0568,                0.58514,                0.86283,               0.003268,               0.003268,               0.003268
                    104,                 1.0282,                0.54211,                 0.8459,                0.93744,                0.74746,                0.79129,                0.60993,                 1.0634,                0.58348,                0.86354,               0.003202,               0.003202,               0.003202
                    105,                 1.0383,                0.54297,                0.84559,                 0.9268,                  0.749,                0.79219,                0.60062,                 1.0512,                0.58063,                0.86296,               0.003136,               0.003136,               0.003136
                    106,                  1.038,                0.54437,                 0.8478,                0.92452,                0.74976,                0.78977,                0.60255,                 1.0526,                0.57941,                0.86187,                0.00307,                0.00307,                0.00307
                    107,                 1.0227,                0.53647,                0.84587,                0.93698,                0.74245,                0.78938,                0.59459,                 1.0534,                0.58306,                0.86277,               0.003004,               0.003004,               0.003004
                    108,                  1.039,                0.53947,                0.84667,                0.93691,                0.73983,                0.80319,                0.61017,                 1.0454,                0.57484,                0.86067,               0.002938,               0.002938,               0.002938
                    109,                 1.0306,                0.53808,                0.84653,                0.93508,                0.74446,                0.79261,                0.60209,                 1.0577,                0.57853,                0.86185,               0.002872,               0.002872,               0.002872
                    110,                 1.0294,                0.53418,                 0.8465,                0.93756,                0.74392,                0.80086,                0.60438,                   1.05,                0.57711,                0.86233,               0.002806,               0.002806,               0.002806
                    111,                0.99386,                0.52439,                0.84476,                0.93698,                0.74892,                0.80858,                0.60936,                 1.0548,                0.58186,                0.86393,                0.00274,                0.00274,                0.00274
                    112,                 1.0207,                0.53179,                0.84381,                0.93348,                0.73886,                0.79229,                0.59952,                 1.0463,                0.57605,                0.86077,               0.002674,               0.002674,               0.002674
                    113,                 1.0228,                0.53605,                0.84443,                0.90901,                0.74751,                0.78421,                0.59999,                 1.0462,                0.57531,                0.86018,               0.002608,               0.002608,               0.002608
                    114,                 1.0059,                0.52731,                0.84435,                0.92936,                0.74986,                0.79116,                0.60892,                 1.0442,                0.57643,                0.85949,               0.002542,               0.002542,               0.002542
                    115,                 1.0151,                0.52857,                0.84195,                0.93145,                0.75093,                0.79205,                0.60725,                  1.037,                0.57172,                 0.8593,               0.002476,               0.002476,               0.002476
